building_address,tenant_name,occupancy_status,availability_status,retail_type,retail_sub_type,retailer_footprint,retail_price_point,retailer_heritage,retailer_value,retailer_occurence,location_quality,premise_quality,quality_ranking,class_mix,corner_store,percent_of_bldg_retail,premise_type,basement_sf,ground_fl_sf,mezzazine,upper_fl_sf,step_up_or_down,number_of_retail_stories,street_frontage,approx_retail_sf,street_frontage_ratio,ceiling,contains_retail,submarket,total_number_of_retail_space,total_retail_space,zip_code,xcord,ycord,building_status,borocode,borough,bbl,block,lot,frequency_of_demand,location_appearance,walkability_score,viability_score,demographic,zip_code_from,zip_code_to,submarket_health_index,gentrifcation_score,footfall_index,block_appeal,target_shopper_profile,stability_index,growth_index,retailer_viability,venting,social_media,total_bldg_front,active,mailer_building_number,mailer_street,mailer_street_type,mailer_city,mailer_state,mailer_zip_code,location_quality_grade,premise_quality_grade,listing_brokerage,listing_broker_name,listing_broker_email,listing_broker_number,tenant_contact_name,tenant_contact_phone_number,tenant_contact_email,tenant_contact_address,owner_contact_name,owner_contact_phone_number,owner_contact_email,owner_contact_address,unique_id_addedem,unique_id_complete,corridor,lattitude,longitude,previous_tenant,notes
201 West 11 Street,Two Boots Pizza,Occupied,Unavailable,Restaurant & Bar,Take-out,Regional Presence,$$,North American,,,2 - Average,2 - Average,4,Average,Yes,30,Street Frontage,0,2568,0,0,,1,75,2568,34,Standard,Yes,West Village,5,2568,10014,983837,207676,Existing,1,Manhattan,1-614-61,614,61,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,4,1-614-61-4,,40.736602,-74.001286,,
114 Christopher Street,Ty's Bar NYC,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,33,Street Frontage,0,1315,0,0,,1,25,1315,52,Standard,Yes,West Village,3,1315,10014,982780,206340,Existing,1,Manhattan,1-588-48,588,48,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-588-48-1,,40.733149,-74.005365,,
405 West 14 Street,Ugg,Occupied,Unavailable,Apparel,Shoes,International Presence,$$,Australian,,,3 - High Quality,3 - High Quality,6,Prime,No,100,Street Frontage,1400,3000,0,0,,1,25,4400,176,High,Yes,Chelsea,1,4400,10014,982648,209405,Existing,1,Manhattan,1-712-27,712,27,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-712-27-1,,40.741327,-74.005863,,
128 Charles Street C,Uncle Funky's Boards,Occupied,Unavailable,Sporting Goods,Sporting Equipment,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,25,Street Frontage,0,402,0,0,Step down,1,,402,,Standard,Yes,West Village,4,402,10014,982191,206748,Existing,1,Manhattan,1-631-17,631,17,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,4,1-631-17-4,,40.73418,-74.007424,,
98 Christopher Street B,Uncorked Wine Bar,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,North American,,,3 - High Quality,2 - Average,5,Average,No,50,Street Frontage,0,397,0,0,,1,10,397,39,Standard,Yes,West Village,2,397,10014,982959,206388,Existing,1,Manhattan,1-588-57,588,57,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-588-57-2,,40.733248,-74.0047,,
750 Greenwich Street,Vacant,Vacant,Available,,,,,,,,2 - Average,2 - Average,4,Average,Yes,100,Street Frontage,0,1000,0,0,,1,50,1000,20,Standard,Yes,West Village,1,1000,10014,982314,207265,Existing,1,Manhattan,1-633-19,633,19,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-633-19-1,,40.73557,-74.006967,,
34 Carmine Street,Unoppressive Non-Imperialist Bargain Books,Occupied,Unavailable,Books,Book Stores,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,66,Street Frontage,0,2000,0,0,,1,35,2000,57,Standard,Yes,West Village,2,3000,10014,983410,205216,Existing,1,Manhattan,1-527-64,527,64,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,,,,,,,,,,,,,,,,,,,,,,1,1-527-64-1,,40.730022,-74.003071,,
547 Hudson Street ,Upright Brew House,Occupied,Unavailable,Restaurant & Bar,Cafe,Local Chain / Independant,$$,North American,Hip,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,1082,0,0,,1,15,1082,72,Standard,Yes,West Village,1,1082,10014,982472,207030,Existing,1,Manhattan,1-632-149,632,149,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-632-149-1,,40.73495,-74.006278,,
705 Greenwich Street,Urban Zen,Occupied,Unavailable,Apparel,Clothing,Regional Presence,$$$$,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,2150,0,0,,1,15,2150,143,Standard,Yes,West Village,1,2150,10014,982323,206693,Existing,1,Manhattan,1-631-34,631,34,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-631-34-1,,40.734021,-74.007101,,
527 Hudson Street,US Post Office,Occupied,Unavailable,"Office Supplies, Postal Supplies, and Services",,National Presence,$$,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,2579,0,0,,1,15,2579,171,Standard,Yes,West Village,1,2579,10014,982428,206743,Existing,1,Manhattan,1-631-42,631,42,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-631-42-1,,40.734121,-74.006411,,
49 Greenwich ,Utility Canvas ,Occupied,Unavailable,Apparel,Clothing,International Presence,$$$,North American,,,2 - Average,2 - Average,4,Average,No,20,Street Frontage,0,400,0,0,,1,25,400,16,Standard,Yes,West Village,4,400,10014,984025,207273,Existing,1,Manhattan,1-612-60,612,60,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-612-60-1,,40.735623,-74.000709,,
9 9 Avenue,Vacant/Construction,Vacant,Unavailable,,,,,,,,3 - High Quality,3 - High Quality,6,Prime,Yes,25,Street Frontage,0,2902,0,0,,1,75,2902,38,Standard,Yes,West Village,1,2902,10014,982442,208876,Existing,1,Manhattan,1-645-49,645,49,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-645-49-1,,40.739853,-74.006392,,
77 8 Avenue ,Vacant,Vacant,Available,,,,,,,,3 - High Quality,3 - High Quality,6,Prime,No,,Street Frontage,1000,3500,0,0,Step up,2,177,4500,25,High,Yes,West Village,1,4500,10014,983422,208758,Existing,1,Manhattan,1-629-7504,629,7504,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-629-7504-1,,40.737471,-74.005264,,
77 Clarkson Street,Vacant,Vacant,Unavailable,,,,,,,,1 - Low End,2 - Average,3,Average,No,33,Street Frontage,0,2742,0,0,,1,30,2742,91,Standard,Yes,West Village,3,2742,10014,981449,205229,Existing,1,Manhattan,1-601-1,601,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,3,1-601-1-3,,40.729908,-74.009654,,
387 Avenue of the Americas,Vada Spa,Occupied,Unavailable,Personal Services,Spa,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,1760,0,0,,1,25,1760,70,Standard,Yes,West Village,1,1760,10014,984186,206403,Existing,1,Manhattan,1-593-27,593,27,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-593-27-1,,40.733159,-74.000123,,
387 Sixth ave ,Vada Spa,Occupied,Unavailable,Personal Services,Spa,Local Chain / Independant,$$$,North American,,,2 - Average,2 - Average,4,Average,No,50,Street Frontage,0,880,0,0,,1,50,880,17,Standard,Yes,West Village,2,880,10014,984198,206424,Existing,1,Manhattan,1-593-26,593,26,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-593-26-2,,40.738088,-74.005095,,
421 West 13 Street C,Valbella New York,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$$,European,,,3 - High Quality,3 - High Quality,6,Prime,No,75,Street Frontage,0,5652,0,0,Step up,1,30,5652,188,Standard,Yes,West Village,2,5652,10014,982323,209233,Existing,1,Manhattan,1-646-57,646,57,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-646-57-2,,40.740862,-74.007031,,
46 8 Avenue B,Van Gogh Cleaners & Tailors,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning",Local Chain / Independant,$$$,North American,,,2 - Average,3 - High Quality,5,Average,Yes,85,Street Frontage,0,4250,0,0,,1,90,4250,47,Standard,Yes,West Village,2,4250,10014,983258,208253,Existing,1,Manhattan,1-616-1,616,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-616-1-2,,40.721766,-73.983761,,
150 West 10 Street B,Van Leewen,Occupied,Unavailable,Grocery,"Butcher, Bakery, Seafood, Cheese, Chocolate, Tea & Coffee, Other Specialized Food",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,45,Street Frontage,0,1800,0,0,,1,20,1800,90,Standard,Yes,West Village,2,1800,10014,983925,206806,Existing,1,Manhattan,1-610-42,610,42,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-610-42-2,,40.734433,-74.001159,,
78 Morton Street,Vacant,Vacant,Unavailable,,,,,,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,3976,0,0,,1,15,3976,265,Standard,Yes,West Village,1,3976,10014,982190,205522,Existing,1,Manhattan,1-602-64,602,64,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-602-64-1,,40.730909,-74.00741,,
325 Bleecker Street,Variazioni,Occupied,Unavailable,Apparel,Clothing,Local Chain / Independant,$$$,European,,,3 - High Quality,3 - High Quality,6,Prime,No,50,Street Frontage,0,1653,0,0,,1,18,1653,91,Standard,Yes,West Village,2,1653,10014,983156,206431,Existing,1,Manhattan,1-591-43,591,43,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-591-43-1,,40.733273,-74.004068,,
174 West 4 Street,Varsano's Chocolates,Occupied,Unavailable,Grocery,"Butcher, Bakery, Seafood, Cheese, Chocolate, Tea & Coffee, Other Specialized Food",Local Chain / Independant,$$,North American,,,2 - Average,3 - High Quality,5,Average,No,15,Street Frontage,0,423,0,0,,1,15,423,28,Standard,Yes,West Village,4,423,10014,983772,206013,Existing,1,Manhattan,1-590-28,590,28,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-590-28-2,,40.732162,-74.001645,,
130 7th Ave S ,Veranda ,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,Yes,100,Street Frontage,0,3075,0,0,,1,110,3075,27,Standard,Yes,West Village,1,3075,10014,983552,206896,Existing,1,Manhattan,1-611-38,611,38,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-611-38-1,,40.734525,-74.0025,,
308 Bleecker Street,Versani,Occupied,Unavailable,Accessories,Jewelry,National Presence,$$$,North American,Hip,,3 - High Quality,2 - Average,5,Average,No,100,Street Frontage,0,960,0,0,,1,15,960,64,Standard,Yes,West Village,1,960,10014,983126,206185,Existing,1,Manhattan,1-588-23,588,23,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-588-23-1,,40.732646,-74.003936,,
310 Bleecker Street,Versani ,Occupied,Unavailable,Accessories,Jewelry,National Presence,$$$$,North American,,,3 - High Quality,2 - Average,5,Average,No,100,Street Frontage,900,900,0,0,,1,15,1800,120,Standard,Yes,West Village,1,1800,10014,983118,206204,Existing,1,Manhattan,1-588-22,588,22,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-588-22-1,,40.7327,-74.003967,,
31 Carmine Street,Victory Garden,Occupied,Unavailable,Grocery,"Butcher, Bakery, Seafood, Cheese, Chocolate, Tea & Coffee, Other Specialized Food",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,33,Street Frontage,0,1650,0,0,,1,15,300,20,Standard,Yes,West Village,3,1650,10014,983344,205354,Existing,1,Manhattan,1-586-32,586,32,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-586-32-1,,40.730233,-74.003146,,
7 Greenwich Street,Village 1 Gift & Convenience Store,Occupied,Unavailable,Gifts and Memorabilia,"Gift Shop, Memorabilia and Souvenirs",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,35,Street Frontage,0,2607,0,0,,1,30,2607,86,Standard,Yes,West Village,5,2607,10014,984246,206770,Existing,1,Manhattan,1-610-60,610,60,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-610-60-2,,40.734171,-73.999846,,
346 Bleecker,Village Apothecary ,Occupied,Unavailable,Health and Personal Care,Pharmacy,Local Chain / Independant,$$,North American,,,3 - High Quality,2 - Average,5,Average,Yes,50,Street Frontage,0,1969,0,0,,1,55,1969,35,Standard,Yes,West Village,3,1969,10014,982950,206618,Existing,1,Manhattan,1-619-26,619,26,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,3,1-619-26-3,,40.733915,-74.004647,,
25 Downing Street,Village Chiropractic Center,Occupied,Unavailable,Medical Services,Medical Services,Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,100,Street Frontage,750,0,0,0,Step down,1,,750,0,Standard,Yes,West Village,1,750,10014,983336,205097,Existing,1,Manhattan,1-527-90,527,90,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,,,,,,,,,,,,,,,,,,,,,,1,1-527-90-1,,40.729545,-74.003252,,
110 7 Avenue South,Village Cigars,Occupied,Unavailable,"Toys, Hobbies",Hobbies,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,Yes,100,Street Frontage,0,373,0,0,Step up,1,30,373,12,Standard,Yes,West Village,1,373,10014,983389,206501,Existing,1,Manhattan,1-591-54,591,54,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-591-54-1,,40.733458,-74.003108,,
179 W 4th ,Village Cuts ,Occupied,Unavailable,Personal Services,"Hair Studio, Barber",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,2055,0,0,Step up,1,30,2055,68,Standard,Yes,West Village,1,2055,10014,983802,206138,Existing,1,Manhattan,1-592-36,592,36,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-592-36-1,,40.738088,-74.005095,,
807 Greenwich Street,Vacant,Vacant,Available,,,,,,,,2 - Average,2 - Average,4,Average,Yes,100,Street Frontage,0,900,0,0,Step up,1,27,900,33,Standard,Yes,West Village,1,900,10014,982505,208166,Existing,1,Manhattan,1-625-5,625,5,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-625-5-1,,40.738048,-74.006368,,
3 Horatio Street,Village Digital,Occupied,Unavailable,"Office Supplies, Postal Supplies, and Services",Office Supplies,Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,75,Street Frontage,0,450,0,0,Step down,1,15,450,30,Standard,Yes,West Village,2,450,10014,983230,208481,Existing,1,Manhattan,1-616-52,616,52,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-616-52-1,,40.738833,-74.003679,,
321 West 11 Street ,Village Dry Clean Laundromat ,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,2700,0,0,,1,25,2700,108,Standard,Yes,West Village,1,2700,10014,982232,207373,Existing,1,Manhattan,1-634-35,634,35,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-634-35-1,,40.735755,-74.007253,,
66 Carmine Street,Village Dry Cleaning & Laundromat,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,1120,0,0,,1,20,1120,56,Standard,Yes,West Village,1,1120,10014,983080,205083,Existing,1,Manhattan,1-528-70,528,70,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-528-70-1,,40.729648,-74.004259,,
179 West 4 Street  ,Village Four ,Occupied,Unavailable,Personal Services,"Hair Studio, Barber",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,50,Street Frontage,0,483,0,0,Step up,1,30,483,16,Standard,Yes,West Village,2,483,10014,983830,206109,Existing,1,Manhattan,1-592-34,592,34,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-592-34-2,,40.732454,-74.001659,,
35 Bedford Street,Village Gyrotonic,Occupied,Unavailable,Gym,Gym,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,50,Street Frontage,0,1170,0,0,,1,25,1170,46,Standard,Yes,West Village,2,1170,10014,983139,205051,Existing,1,Manhattan,1-528-78,528,78,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-528-78-1,,40.729538,-74.003874,,
